Signal-1,Signal-2,Signal-3,Signal-4,Signal-5,Signal-6,Signal-7
2125347.0,0.0247,0.1855,0.9084,131077.0,122517.0,128743.0
2125348.0,0.1069,0.1467,0.9316,131077.0,122517.0,128743.0
2125349.0,0.1069,0.1467,0.9316,131077.0,122517.0,128743.0
2125350.0,0.1069,0.1467,0.9316,131077.0,122517.0,128743.0
2125351.0,-0.0496,-0.0854,1.0696,131077.0,122450.0,128704.0
2125352.0,-0.0496,-0.0854,1.0696,131077.0,122450.0,128704.0
2125353.0,-0.0496,-0.0854,1.0696,131055.0,122450.0,128704.0
2125354.0,-0.0127,-0.011,1.0271,131055.0,122450.0,128704.0
2125355.0,-0.0127,-0.011,1.0271,131055.0,122450.0,128704.0
2125356.0,-0.0127,-0.011,1.0271,131055.0,122450.0,128704.0
2125357.0,0.0244,0.1885,0.9043,131055.0,122475.0,128724.0
2125358.0,0.0244,0.1885,0.9043,131055.0,122475.0,128724.0
2125359.0,0.0244,0.1885,0.9043,131121.0,122475.0,128724.0
2125360.0,0.1064,0.1433,0.9268,131121.0,122475.0,128724.0
2125361.0,0.1064,0.1433,0.9268,131121.0,122475.0,128724.0
2125362.0,0.1064,0.1433,0.9268,131121.0,122475.0,128724.0
2125363.0,-0.0437,-0.0891,1.0693,131121.0,122423.0,128673.0
2125364.0,-0.0437,-0.0891,1.0693,131121.0,122423.0,128673.0
2125365.0,-0.0437,-0.0891,1.0693,130988.0,122423.0,128673.0
2125366.0,0.001,-0.0095,1.0237,130988.0,122423.0,128673.0
2125367.0,0.001,-0.0095,1.0237,130988.0,122423.0,128673.0
2125368.0,0.001,-0.0095,1.0237,130988.0,122423.0,128673.0
2125369.0,0.0029,0.1816,0.9141,130988.0,122400.0,128686.0
2125370.0,0.0029,0.1816,0.9141,130988.0,122400.0,128686.0
2125371.0,0.0029,0.1816,0.9141,131169.0,122400.0,128686.0
2125372.0,0.0994,0.146,0.9292,131169.0,122400.0,128686.0
2125373.0,0.0994,0.146,0.9292,131169.0,122400.0,128686.0
2125374.0,0.0994,0.146,0.9292,131169.0,122400.0,128686.0
2125375.0,-0.0234,-0.0857,1.0535,131169.0,122475.0,128763.0
2125376.0,-0.0234,-0.0857,1.0535,131169.0,122475.0,128763.0
2125377.0,-0.0234,-0.0857,1.0535,131050.0,122475.0,128763.0
2125378.0,-5.0E-4,-0.0049,1.0229,131050.0,122475.0,128763.0
2125379.0,-5.0E-4,-0.0049,1.0229,131050.0,122475.0,128763.0
2125380.0,-5.0E-4,-0.0049,1.0229,131050.0,122475.0,128763.0
2125381.0,-2.0E-4,0.1667,0.9312,131050.0,122380.0,128667.0
2125382.0,-2.0E-4,0.1667,0.9312,131050.0,122380.0,128667.0
2125383.0,-2.0E-4,0.1667,0.9312,131025.0,122380.0,128667.0
2125384.0,0.0854,0.1472,0.9241,131025.0,122380.0,128667.0
2125385.0,0.0854,0.1472,0.9241,131025.0,122380.0,128667.0
2125386.0,0.0854,0.1472,0.9241,131025.0,122380.0,128667.0
2125387.0,-0.0046,-0.0671,1.0476,131025.0,122436.0,128768.0
2125388.0,-0.0046,-0.0671,1.0476,131025.0,122436.0,128768.0
2125389.0,-0.0046,-0.0671,1.0476,131214.0,122436.0,128768.0
2125390.0,-0.019,-0.0249,1.0374,131214.0,122436.0,128768.0
2125391.0,-0.019,-0.0249,1.0374,131214.0,122436.0,128768.0
2125392.0,-0.019,-0.0249,1.0374,131214.0,122436.0,128768.0
2125393.0,0.0107,0.158,0.9368,131214.0,122422.0,128675.0
2125394.0,0.0107,0.158,0.9368,131214.0,122422.0,128675.0
2125395.0,0.0107,0.158,0.9368,130994.0,122422.0,128675.0
2125396.0,0.0911,0.158,0.9199,130994.0,122422.0,128675.0
2125397.0,0.0911,0.158,0.9199,130994.0,122422.0,128675.0
2125398.0,0.0911,0.158,0.9199,130994.0,122422.0,128675.0
2125399.0,-0.0105,-0.0657,1.0464,130994.0,122370.0,128714.0
2125400.0,-0.0105,-0.0657,1.0464,130994.0,122370.0,128714.0
2125401.0,-0.0105,-0.0657,1.0464,131237.0,122370.0,128714.0
2125402.0,-0.0217,-0.041,1.0444,131237.0,122370.0,128714.0
2125403.0,-0.0217,-0.041,1.0444,131237.0,122370.0,128714.0
2125404.0,-0.0217,-0.041,1.0444,131237.0,122370.0,128714.0
2125405.0,0.0039,0.1665,0.9202,131237.0,122367.0,128624.0
2125406.0,0.0039,0.1665,0.9202,131237.0,122367.0,128624.0
2125407.0,0.0039,0.1665,0.9202,131000.0,122367.0,128624.0
2125408.0,0.1121,0.1853,0.9128,131000.0,122367.0,128624.0
2125409.0,0.1121,0.1853,0.9128,131000.0,122367.0,128624.0
2125410.0,0.1121,0.1853,0.9128,131000.0,122367.0,128624.0
2125411.0,-0.0269,-0.073,1.0522,131000.0,122294.0,128677.0
